Comment,Designator,Footprint,LCSC
100k,"R1,R3",R_0805_2012Metric,C149504
100u,"C6,C7,C8",C_1206_3216Metric,C15008
10k,R5,R_0805_2012Metric,C17414
470,R4,R_0805_2012Metric,C17710
1,"R10,R2,R6,R7,R8,R9",R_0805_2012Metric,C25271
100n,"C1,C2,C3,C4,C5",C_0805_2012Metric,C28233
AudioJack4,J6,Jack_3.5mm_PJ320D_Horizontal,C431535
ZTS6216,U4,ZTS6216,C481302
USB_B_Micro-Connector,J8,USB_Micro-B_Molex-105017-0001,C505111
MCP6002-xSN,"U1,U2,U3",SOIC-8_3.9x4.9mm_P1.27mm,C7377
MountingHole,H4,MountingHole_2.2mm_M2,
MountingHole,H3,MountingHole_2.2mm_M2,
MountingHole,H2,MountingHole_2.2mm_M2,
MountingHole,H1,MountingHole_2.2mm_M2,
R_Potentiometer,RV1,Potentiometer_Bourns_3266W_Vertical,
SolderJumper_2_Open,JP2,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
SolderJumper_2_Bridged,JP1,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,
SolderJumper_2_Open,JP3,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
OUT,J5,PinSocket_1x01_P2.54mm_Vertical,
FB,J7,PinSocket_1x01_P2.54mm_Vertical,
Conn_01x02,J2,PinSocket_1x02_P2.54mm_Vertical,
INP,J4,PinSocket_1x01_P2.54mm_Vertical,
MIC,J3,PinSocket_1x01_P2.54mm_Vertical,
Conn_01x02,J1,PinSocket_1x02_P2.54mm_Vertical,
